funding_date,company_name,amount_raised_usd,funding_stage,investors,climate_tech_vertical,headquarters_country,headquarters_city,short_description,company_website,source_url
2025-02-26,MycoSynth,25000000,Series A,Breakthrough Energy Ventures|a16z|Khosla Ventures,Carbon Tech,USA,Boston,Developing novel series a technology for the Energy sector.,https://www.mycosynth.com,https://techcrunch.com/2025/01/15/mycosynth-raises-25m/
2024-12-31,MycoSynth,34000000,Series B,Breakthrough Energy Ventures,Mobility,USA,San Francisco,Developing novel series b technology for the Carbon Tech sector.,https://www.mycosynth.com,https://techcrunch.com/2025/01/15/mycosynth-raises-34m/
2025-07-20,TerraLabs,4000000,Seed,Congruent Ventures|a16z,Mobility,UK,London,Developing novel seed technology for the Industrial Decarbonization sector.,https://www.terralabs.com,https://techcrunch.com/2025/01/15/terralabs-raises-4m/
2024-10-31,AuraScale,4000000,Seed,Congruent Ventures,Climate Adaptation,Germany,Munich,Developing novel seed technology for the Carbon Tech sector.,https://www.aurascale.com,https://techcrunch.com/2025/01/15/aurascale-raises-4m/
2025-07-18,HelioCycle,25000000,Series A,a16z|Y Combinator,Carbon Tech,Germany,Munich,Developing novel series a technology for the Climate Adaptation sector.,https://www.heliocycle.com,https://techcrunch.com/2025/01/15/heliocycle-raises-25m/
2024-12-09,MycoScale,16000000,Series A,Khosla Ventures,Climate Adaptation,UK,London,Developing novel series a technology for the Carbon Tech sector.,https://www.mycoscale.com,https://techcrunch.com/2025/01/15/mycoscale-raises-16m/
2024-08-08,HelioSynth,12000000,Series A,Khosla Ventures|Congruent Ventures|a16z,Energy,USA,San Francisco,Developing novel series a technology for the Climate Adaptation sector.,https://www.heliosynth.com,https://techcrunch.com/2025/01/15/heliosynth-raises-12m/
2025-02-26,TerraLabs,376000,Grant,Lowercarbon Capital,Climate Adaptation,UK,London,Developing novel grant technology for the Carbon Tech sector.,https://www.terralabs.com,https://techcrunch.com/2025/01/15/terralabs-raises-0m/
2025-06-12,AtmoSynth,20000000,Series A,Breakthrough Energy Ventures|Y Combinator,Industrial Decarbonization,UK,London,Developing novel series a technology for the Mobility sector.,https://www.atmosynth.com,https://techcrunch.com/2025/01/15/atmosynth-raises-20m/
2025-03-06,TerraCarbon,17000000,Series A,Congruent Ventures|Khosla Ventures,Industrial Decarbonization,Germany,Berlin,Developing novel series a technology for the Food & Ag sector.,https://www.terracarbon.com,https://techcrunch.com/2025/01/15/terracarbon-raises-17m/
